Tampa Bay Buccaneers		44.3	14.3	11.8	19.7	2.8	0.6	368.1	5560.1	114.7
Pittsburgh Steelers		48.7	14.3	10.3	15.6	2.5	0.2	392.6	5858.3	113.4
Buffalo Bills		43.3	16.1	10	15.4	2.8	0.6	333.7	5353.2	113.4
Green Bay Packers		43	16.5	9.6	14.2	2.8	0.2	355	5605	112.5
Dallas Cowboys		40	16.5	10.4	16.1	3	0.3	375.9	5842.6	112
Los Angeles Rams		43.5	14.6	10.1	12.8	2.8	0.5	365	5681.1	110.9
New Orleans Saints		43.9	15.2	9.8	14	2.6	0.2	338.6	5605.8	109.9
Miami Dolphins		44.3	14.6	9.7	16.2	2.6	0.6	376.7	5721.7	109.5
Los Angeles Chargers		42.2	14.1	10.8	17.5	2.7	0.6	395	5866.6	109.3
San Francisco 49ers		44.7	13.5	10.5	16.8	2.5	0.2	362.1	5508.2	108.4
Indianapolis Colts		35.9	15.4	11.3	18	2.7	0.9	363.8	5720.9	107.4
Minnesota Vikings		42.1	14	9.4	14.2	2.8	0.2	390	5876.2	105.9
New England Patriots		40.3	15	9.6	13.2	2.6	0.5	366.3	5723.1	105.9
Kansas City Chiefs		37.9	14.3	10.4	17.9	2.9	0.5	389.2	6016.2	105.5
Cleveland Browns		42.9	14.2	8.9	13.5	2.5	0.5	368.6	5585.5	105.4
Arizona Cardinals		39	13.6	11.3	19	2.4	0.5	388.6	5847.5	104
Denver Broncos		40.7	14	9	13.8	2.6	0.2	383.6	5840.2	102.5
Tennessee Titans		41.9	13.7	8.8	13	2.5	0.2	360.4	5781.6	102.3
Cincinnati Bengals		39.9	14.5	8.9	14.7	2.4	0.6	378.1	5925.7	101.9
Washington Commanders		39.6	13.2	10	15.8	2.5	0.2	389.4	5870.6	101.8
Baltimore Ravens		38.7	13.7	9.6	15	2.6	0.6	356.5	5782.6	101.8
Chicago Bears		41.9	12.4	9.9	15.7	2.3	0.5	402.5	5824.2	101.7
Philadelphia Eagles		39.6	12.8	8.7	13.5	2.7	0.5	376.4	5762	99.9
Carolina Panthers		39.4	12.7	9.9	13.7	2.4	0.2	408.3	5624.9	99.8
New York Giants		38.2	12.9	9.3	13.5	2.3	0.5	402.7	5794.4	97.3
Seattle Seahawks		36.9	12.8	8.9	12.1	2.2	0.6	399.3	6095.3	94.5
Las Vegas Raiders		36.3	12	9.5	14.7	2.2	0.5	416.9	5795.7	93.7
Houston Texans		35.3	12.5	9.5	14.9	2.3	0.2	432.5	6372	93.7
New York Jets		36.2	12.2	9.2	14.7	2.3	0.2	436.3	6221.1	93.2
Detroit Lions		35.4	12.2	9.2	13.8	2.2	0.5	437.9	6246.3	92.7
Jacksonville Jaguars		37.2	11.8	8.4	11.1	2.2	0.5	433.4	6176.4	92
Atlanta Falcons		31.2	13	8.9	12.8	2.1	0.2	426.6	6074.7	88.4
